name,spec,price,link
Spacious holiday gite with pool in Dordogne - AD006993,"Bedrooms 4, Sleeps 8",£595 to £1250 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006993/index.htm
Holiday gite near the village of Vieillevie - OC004638,"Bedrooms 2, Sleeps 3, Ratings 2 9.8/10",£450 to £650 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/OC004638/index.htm
"Lovely house with private pool, Aquitaine - AT006019","Bedrooms 3, Sleeps 6, Ratings 2 10/10",£1995 to £2500 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT006019/index.htm
Gite for holiday rental near Quillan - RA003651,"Bedrooms 1, Sleeps 3, Ratings 7 10/10",£420 to £580 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA003651/index.htm
Large holiday gite in a Normandy village - NM006184,"Bedrooms 3, Sleeps 10, Ratings 9 9.4/10",£365 to £475 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006184/index.htm
Holiday accommodation plus pool in Argol - BF001630_E,"Bedrooms 3, Sleeps 6, Ratings 2 9.7/10",€1200 to €1800 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF001630_E/index.htm
"House to let, private pool, rural Charente - PC007247","Bedrooms 3, Sleeps 6, Ratings 1 8.5/10",£658 to £1155 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC007247/index.htm
"Large Holiday house & pool for 12, Languedoc - RP006114","Bedrooms 6, Sleeps 12",£2500 to £3300 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RP006114/index.htm
"Windmill & private pool to let, Aquitaine - AT007728","Bedrooms 1, Sleeps 2",£640 to £1103 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT007728/index.htm
Holiday cottage with pool in rural Vendee - LV004738,"Bedrooms 3, Sleeps 7, Ratings 1 5.7/10",£700 to £1150 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV004738/index.htm
"Peaceful Cottage to let Pounerin, Brittany - BN006391","Bedrooms 2, Sleeps 5, Ratings 1 10/10",£400 to £750 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN006391/index.htm
"Beautiful Perigordian house to let, Aquitaine - AD007472","Bedrooms 3, Sleeps 6",£600 to £995 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007472/index.htm
"Apartment + Pool rental nr Beach, Marseillan - RH004043_B","Bedrooms 1, Sleeps 2, Ratings 16 9.8/10",£710 to £989 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/RH004043_B/index.htm
Rose Cottage for rent in Mayenne - Sleeps 2 - LM003633_A,"Bedrooms 2, Sleeps 4, Ratings 9 9.6/10",£440 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LM003633_A/index.htm
Large gite to let on complex in Charente - PC006033_B,"Bedrooms 4, Sleeps 10",£1120 to £1456 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006033_B/index.htm
Dog friendly holiday gite in rural Normandy - NM005929,"Bedrooms 3, Sleeps 6, Ratings 14 10/10",£500 to £650 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005929/index.htm
Converted barn holiday let Maine et Loire - LL004127_B,"Bedrooms 2, Sleeps 4, Ratings 11 9.9/10",£380 to £455 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/LL004127_B/index.htm
"Family friendly gite to let, rural Aquitaine - AT006069","Bedrooms 3, Sleeps 6",£600 to £1000 pw,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT006069/index.htm
